pig,date,type,contig_n,contig_len_tot,contig_len_mean,contig_len_med,name,value
14159,t0,contig_and_bin,86162,721537586,8374.19727954319,4813.5,mapped,18047596
14159,t0,contig_and_bin,86162,721537586,8374.19727954319,4813.5,unmapped,102693
14159,t0,contig_only,825942,842556272,1020.11554322216,722,mapped,9680518
14159,t0,contig_only,825942,842556272,1020.11554322216,722,unmapped,174803
14159,t0,no_contig_no_bin,1,0,0,0,mapped,0
14159,t0,no_contig_no_bin,1,0,0,0,unmapped,1158942
14159,t1,contig_and_bin,86162,721537586,8374.19727954319,4813.5,mapped,19285116
14159,t1,contig_and_bin,86162,721537586,8374.19727954319,4813.5,unmapped,150634
14159,t1,contig_only,825942,842556272,1020.11554322216,722,mapped,11482557
14159,t1,contig_only,825942,842556272,1020.11554322216,722,unmapped,231983
14159,t1,no_contig_no_bin,1,0,0,0,mapped,0
14159,t1,no_contig_no_bin,1,0,0,0,unmapped,1226578
14159,t2,contig_and_bin,86162,721537586,8374.19727954319,4813.5,mapped,22673609
14159,t2,contig_and_bin,86162,721537586,8374.19727954319,4813.5,unmapped,192371
14159,t2,contig_only,825942,842556272,1020.11554322216,722,mapped,15062746
14159,t2,contig_only,825942,842556272,1020.11554322216,722,unmapped,297708
14159,t2,no_contig_no_bin,1,0,0,0,mapped,0
14159,t2,no_contig_no_bin,1,0,0,0,unmapped,1486928
14159,t3,contig_and_bin,86162,721537586,8374.19727954319,4813.5,mapped,11772176
14159,t3,contig_and_bin,86162,721537586,8374.19727954319,4813.5,unmapped,108606
14159,t3,contig_only,825942,842556272,1020.11554322216,722,mapped,7535537
14159,t3,contig_only,825942,842556272,1020.11554322216,722,unmapped,130420
14159,t3,no_contig_no_bin,1,0,0,0,mapped,0
14159,t3,no_contig_no_bin,1,0,0,0,unmapped,558550
14159,t4,contig_and_bin,86162,721537586,8374.19727954319,4813.5,mapped,18592353
14159,t4,contig_and_bin,86162,721537586,8374.19727954319,4813.5,unmapped,126489
14159,t4,contig_only,825942,842556272,1020.11554322216,722,mapped,10756243
14159,t4,contig_only,825942,842556272,1020.11554322216,722,unmapped,167879
14159,t4,no_contig_no_bin,1,0,0,0,mapped,0
14159,t4,no_contig_no_bin,1,0,0,0,unmapped,1040336
