*sample_name,biosample number,sample_title,bioproject_accession,*organism,host,isolation_source,*collection_date,*geo_loc_name,*lat_lon,altitude,ref_biomaterial,rel_to_oxygen,samp_collect_device,samp_mat_process,samp_size,source_material_id,description,*env_biome,*env_feature,*env_material,Room number and pen (i.e. crate) ID ,Cohort,Antibiotic regimen,Probiotic regimen,Dysentery,DNA extraction plate ID,DNA extraction well ID,Sample_storage_temperature,host_body_habitat,host_diet,host_last_meal,host_life_stage,host_sex,TATTOO,Crate before start of the trial,NURSING_DAM,BIRTH_DAY,LINE,CROSS_BREED,STIGSIRE (male parent),STIGDAM (female parent),host_weight,,,,,,,,,,,,,,
Ja31/14286,SAMN11097669Ê,,PRJNA526405,Pig gut metagenome,Pig,14286,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1A,Control,not applicable,not applicable,0,plate_8,F12,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14286,C19,212211,1/11/2017 0:00:00,316,Duroc x Landrace,BR07335,212211,5.8,,,,,,,,,,,,,,
Ja31/29962,SAMN11097670Ê,,PRJNA526405,Pig gut metagenome,Pig,29962,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1A,Control,not applicable,not applicable,0,plate_8,H5,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29962,B23,315132,1/11/2017 0:00:00,326,Duroc x Large white,BR07264,32810,6.1,,,,,,,,,,,,,,
Ja31/29707,SAMN11097671Ê,,PRJNA526405,Pig gut metagenome,Pig,29707,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1A,Control,not applicable,not applicable,0,plate_7,C12,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29707,B26,32771,1/9/2017 0:00:00,326,Duroc x Large white,BR05942,315376,8.4,,,,,,,,,,,,,,
Ja31/14322,SAMN11097672Ê,,PRJNA526405,Pig gut metagenome,Pig,14322,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1A,Control,not applicable,not applicable,0,plate_5,H5,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14322,B31,21560,1/11/2017 0:00:00,316,Duroc x Landrace,BR06957,21560,6.8,,,,,,,,,,,,,,
Ja31/29913,SAMN11097673Ê,,PRJNA526405,Pig gut metagenome,Pig,29913,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1A,Control,not applicable,not applicable,0,plate_8,H10,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29913,B50,315875,1/11/2017 0:00:00,326,Duroc x Large white,BR05918,315875,5.5,,,,,,,,,,,,,,
Ja31/14187,SAMN11097674Ê,,PRJNA526405,Pig gut metagenome,Pig,14187,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1A,Control,not applicable,not applicable,0,plate_7,G1,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14187,B2,210747,1/8/2017 0:00:00,316,Duroc x Landrace,BR06957,210747,6.3,,,,,,,,,,,,,,
Ja31/29912,SAMN11097675Ê,,PRJNA526405,Pig gut metagenome,Pig,29912,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1B,Control,not applicable,not applicable,0,plate_8,E3,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29912,B50,315875,1/11/2017 0:00:00,326,Duroc x Large white,BR05918,315875,6,,,,,,,,,,,,,,
Ja31/14160,SAMN11097676Ê,,PRJNA526405,Pig gut metagenome,Pig,14160,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1B,Control,not applicable,not applicable,0,plate_7,A11,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14160,A36,T11600,1/6/2017 0:00:00,319,Landrace x Cross bred (LW x D),BY12386,T11600,6,,,,,,,,,,,,,,
Ja31/29665,SAMN11097677Ê,,PRJNA526405,Pig gut metagenome,Pig,29665,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1B,Control,not applicable,not applicable,0,plate_7,H9,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29665,A26,315286,1/8/2017 0:00:00,326,Duroc x Large white,BR06957,315286,6.8,,,,,,,,,,,,,,
Ja31/29939,SAMN11097678Ê,,PRJNA526405,Pig gut metagenome,Pig,29939,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1B,Control,not applicable,not applicable,0,plate_7,F9,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29939,A31,B11614,1/11/2017 0:00:00,326,Duroc x Large white,BR06957,B11614,5.7,,,,,,,,,,,,,,
