Room,Pen,Pig,31-Jan,7-Feb,14-Feb,21-Feb,28-Feb
1,A,29912,6,6.4,7.8,,
1,A,14160,6,6.9,9.2,,
1,A,29707,8.4,9.3,11,15.3,19.6
1,A,14322,6.8,7,8.6,11.1,13.7
1,A,29913,5.5,5.3,7.3,9.9,13.9
1,A,14187,6.3,6.8,8.9,12.5,16.3
1,B,14286,5.8,6.2,7.3,10.9,12.3
1,B,29962,6.1,6.5,7,10.2,12.5
1,B,29665,6.8,7.3,7.6,10.9,13.7
1,B,29939,5.7,6.2,8,,
1,B,14161,5.7,6.2,7.7,,
1,B,29705,9.4,10.2,11.8,15.9,20.3
1,C,29654,5.4,5.5,6.2,8.5,11.8
1,C,29898,7.4,7.7,9.8,,
1,C,29631,5.7,6.1,8,,
1,C,14184,6.7,7.1,9.4,13.1,17
1,C,29666,7.5,8.3,10.3,14.3,18.3
1,C,29948,5.6,5.9,6.7,8.8,12.7
2,A,14233,5.6,6.7,9,,
2,A,29792,4.8,5,6.8,,
2,A,14159,6.2,7.1,8.6,11.8,14.8
2,A,14205,8.9,7.2,9.8,12.5,16.8
2,A,29752,5.8,8.3,9.9,12.5,15.2
2,A,29875,6.5,7,8.7,10.2,12.3
2,B,29644,6.3,7.2,9.4,12.6,15.9
2,B,29914,6.9,7.3,9.5,,
2,B,14276,6.7,7.5,9.3,11.8,15.6
2,B,14172,7.3,8.2,11.2,,
2,B,14262,8.4,8.6,10.6,13,16.2
2,B,29765,5,5,6.3,8.7,10.6
2,C,29864,5.9,6.2,8.4,11.4,15.2
2,C,29778,5.7,6,8.2,,
2,C,14317,5.7,6,7.7,10.5,13.4
2,C,29742,4.6,4.8,6.1,7.5,9.3
2,C,14273,5,5.6,7.2,,
2,C,29846,5.2,6.2,8.2,10.9,14.2
2,D,29961,5.7,6.6,8.1,10.4,13.4
2,D,14295,8,7.9,8.8,11.2,15.3
2,D,29652,7.2,6.8,7.7,9.9,12.9
2,D,14194,7,7.2,8.9,11.7,15.3
2,D,29691,5.5,6,7.7,,
2,D,14174,7.8,8.5,11,,
2,E,29951,5.2,5.8,7.5,10.6,13.4
2,E,29703,7.2,8.7,11.7,15.4,19
2,E,29934,6.8,7.5,9.4,11.7,13.7
2,E,14193,7.5,7.8,10.5,,
2,E,29865,6.2,7.4,10.3,,18.3
2,E,14201,5.3,5.7,7.1,,
2,F,29667,6.2,7.3,8.8,10.1,12.7
2,F,14298,6.9,7.4,9.8,,
2,F,29931,8.2,8.4,11.9,15.6,20.3
2,F,29754,8.1,8.4,10.5,,
2,F,14320,7.2,7.5,9.1,11.2,14.4
2,F,14287,4.6,4.4,6.3,7.5,8.6
3,A,29924,5.2,6,7.6,9.7,12.2
3,A,14209,5.8,6.4,8.6,11.8,15.1
3,A,29863,6.3,7,9.8,,
3,A,29692,6.2,7.3,9.5,,
3,A,14188,9.5,9.7,12.7,15.9,21.7
3,A,14307,7,7.5,8.9,10.8,13.5
3,B,14183,6,6.7,9,11.4,15.1
3,B,14306,7.2,7.7,9.7,11.9,15.7
3,B,29901,6.6,7,8.7,,
3,B,14163,6,7.2,10.2,,
3,B,14308,7.4,7.5,9.6,12,14.8
3,B,29700,6.7,7.4,9.1,11.2,14.8
3,C,29704,8.6,9.5,11.1,13.6,17.4
3,C,14284,4.9,5.1,6.4,8.3,10.8
3,C,14275,7.1,8.1,10.2,12.7,17.8
3,C,14231,4.7,5.8,7.7,,
3,C,14162,6.4,7.7,10.7,,
3,C,14288,5.1,5.6,7.1,8.6,11.4
3,D,29900,7.9,8.5,10.2,,
3,D,14297,5.1,5.3,6.8,8.8,10.6
3,D,14274,5,6.2,8.1,10.7,13.6
3,D,29679,6.4,7.7,9.7,12.3,13.8
3,D,29943,6.4,6.6,8,,
3,D,14263,7.4,7.6,9.4,11.7,13.2
3,E,29702,7.4,7.6,9.5,11.4,12.6
3,E,29715,6.1,6.8,8.4,10,12.7
3,E,14260,8.9,9.6,11.4,13.9,18.7
3,E,14195,7,8.3,10.6,12.4,15.8
3,E,29655,7.9,8.8,10.9,,
3,E,14171,4.8,5.2,7.4,,
3,F,29745,3.9,5.2,6.9,,
3,F,29645,5.6,6.5,8.3,,
3,F,29643,7.8,9.6,12.3,14.6,20.4
3,F,14261,8,8.1,10.5,12,15.8
3,F,14186,4.6,5.2,7.3,9,12.1
3,F,29646,7.1,8,9.5,13.3,15.7
4,A,14190,8.3,8.5,10.7,,
4,A,29797,5.1,5.2,6.6,,
4,A,29781,4.4,5.3,6.1,8.6,12.5
4,A,29668,6.6,6.8,8,9.8,12.8
4,A,14265,7.7,7.6,8.9,12.3,17.1
4,A,29653,9.3,9.7,11.8,14.3,18.3
4,B,29633,5.8,6.7,9.2,,
4,B,14208,6.7,7.6,9.8,13.2,17.2
4,B,14305,6,6.4,8.5,11.7,14.4
4,B,29949,5.3,5.5,7.3,10.6,14.4
4,B,29796,5.9,6.8,8.7,11.8,15.1
4,B,29777,4.6,4.6,5.9,,
4,C,29847,5.4,6.5,8.6,11.4,15.1
4,C,29793,5.6,7,7.7,9.5,11.2
4,C,29753,7.9,8.1,9.4,11.4,14.6
4,C,29743,5.8,6.3,7.5,,
4,C,29718,6.3,7.1,9.2,,
4,C,29694,6.8,7.7,9.1,11.5,13.4
