Room,Pen,Pig,euth_day,euth_wt
1,C,29654,6-Mar,14.4
1,C,14184,6-Mar,21.2
1,C,29666,6-Mar,22
1,C,29948,6-Mar,16.3
2,C,29864,6-Mar,18.9
2,C,14317,6-Mar,16.2
2,C,29742,6-Mar,11
2,C,29846,6-Mar,15.5
2,F,29667,6-Mar,14.1
2,F,29931,6-Mar,23.4
2,F,14320,6-Mar,17.1
2,F,14287,6-Mar,10.2
3,C,29704,7-Mar,21
3,C,14284,7-Mar,13.9
3,C,14275,7-Mar,21.2
3,C,14288,7-Mar,14.8
3,F,29643,7-Mar,24.7
3,F,14261,7-Mar,20.2
3,F,14186,7-Mar,15
3,F,29646,7-Mar,21.4
4,C,29847,7-Mar,18.8
4,C,29793,7-Mar,13.5
4,C,29753,7-Mar,16.5
4,C,29694,7-Mar,15.3
1,B,14286,7-Mar,15.2
1,B,29962,7-Mar,16.5
1,B,29665,7-Mar,16.6
1,B,29705,7-Mar,24.4
2,B,29644,8-Mar,20.5
2,B,14276,8-Mar,19.4
2,B,14262,8-Mar,20.2
2,B,29765,8-Mar,12.5
2,E,29951,8-Mar,16.8
2,E,29703,8-Mar,22.6
2,E,29934,8-Mar,17
2,E,29865,8-Mar,24.1
3,B,14183,8-Mar,18.5
3,B,14306,8-Mar,19.3
3,B,14308,8-Mar,20.4
3,B,29700,8-Mar,18.5
3,E,29702,8-Mar,16.7
3,E,29715,8-Mar,16.8
3,E,14260,8-Mar,23.7
3,E,14195,8-Mar,18.9
4,B,14208,9-Mar,21.4
4,B,14305,9-Mar,17.5
4,B,29949,9-Mar,18.6
4,B,29796,9-Mar,17.3
1,A,29707,9-Mar,26.1
1,A,14322,9-Mar,16.1
1,A,29913,9-Mar,17.1
1,A,14187,9-Mar,20.1
2,A,14159,9-Mar,19.1
2,A,14205,9-Mar,21.3
2,A,29752,9-Mar,18.8
2,A,29875,9-Mar,15.2
2,D,29961,9-Mar,16.8
2,D,14295,9-Mar,19.2
2,D,29652,9-Mar,17.6
2,D,14194,9-Mar,20.1
3,A,29924,10-Mar,
3,A,14209,10-Mar,
3,A,14188,10-Mar,
3,A,14307,10-Mar,
3,D,14297,10-Mar,
3,D,14274,10-Mar,
3,D,29679,10-Mar,
3,D,14263,10-Mar,
4,A,29781,10-Mar,
4,A,29668,10-Mar,
4,A,14265,10-Mar,
4,A,29653,10-Mar,
