genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
14159_bins.456.fa,1_1,0.010000000000000009,average,ANImf,1
14160_bins.46.fa,1_1,0.010000000000000009,average,ANImf,1
14161_bins.85.fa,1_1,0.010000000000000009,average,ANImf,1
14162_bins.218.fa,1_1,0.010000000000000009,average,ANImf,1
14163_bins.18.fa,1_1,0.010000000000000009,average,ANImf,1
14171_bins.194.fa,1_1,0.010000000000000009,average,ANImf,1
14174_bins.232.fa,1_1,0.010000000000000009,average,ANImf,1
14183_bins.8.fa,1_1,0.010000000000000009,average,ANImf,1
14184_bins.326.fa,1_1,0.010000000000000009,average,ANImf,1
14186_bins.90.fa,1_1,0.010000000000000009,average,ANImf,1
14187_bins.497.fa,1_1,0.010000000000000009,average,ANImf,1
14188_bins.494.fa,1_1,0.010000000000000009,average,ANImf,1
14190_bins.51.fa,1_1,0.010000000000000009,average,ANImf,1
14194_bins.323.fa,1_1,0.010000000000000009,average,ANImf,1
14195_bins.253.fa,1_1,0.010000000000000009,average,ANImf,1
14201_bins.177.fa,1_1,0.010000000000000009,average,ANImf,1
14204_bins.75.fa,1_1,0.010000000000000009,average,ANImf,1
14205_bins.137.fa,1_1,0.010000000000000009,average,ANImf,1
14208_bins.35.fa,1_1,0.010000000000000009,average,ANImf,1
14209_bins.116.fa,1_1,0.010000000000000009,average,ANImf,1
14233_bins.303.fa,1_1,0.010000000000000009,average,ANImf,1
14260_bins.121.fa,1_1,0.010000000000000009,average,ANImf,1
14261_bins.29.fa,1_1,0.010000000000000009,average,ANImf,1
14262_bins.73.fa,1_1,0.010000000000000009,average,ANImf,1
14263_bins.403.fa,1_1,0.010000000000000009,average,ANImf,1
14265_bins.792.fa,1_1,0.010000000000000009,average,ANImf,1
14273_bins.49.fa,1_1,0.010000000000000009,average,ANImf,1
14274_bins.107.fa,1_1,0.010000000000000009,average,ANImf,1
14276_bins.137.fa,1_1,0.010000000000000009,average,ANImf,1
14284_bins.84.fa,1_1,0.010000000000000009,average,ANImf,1
14288_bins.338.fa,1_1,0.010000000000000009,average,ANImf,1
14295_bins.129.fa,1_1,0.010000000000000009,average,ANImf,1
14297_bins.130.fa,1_1,0.010000000000000009,average,ANImf,1
14305_bins.361.fa,1_1,0.010000000000000009,average,ANImf,1
14306_bins.118.fa,1_1,0.010000000000000009,average,ANImf,1
14308_bins.369.fa,1_1,0.010000000000000009,average,ANImf,1
14317_bins.63.fa,1_1,0.010000000000000009,average,ANImf,1
14320_bins.163.fa,1_1,0.010000000000000009,average,ANImf,1
14322_bins.120.fa,1_1,0.010000000000000009,average,ANImf,1
29631_bins.218.fa,1_1,0.010000000000000009,average,ANImf,1
29643_bins.523.fa,1_1,0.010000000000000009,average,ANImf,1
29646_bins.327.fa,1_1,0.010000000000000009,average,ANImf,1
29652_bins.99.fa,1_1,0.010000000000000009,average,ANImf,1
29653_bins.158.fa,1_1,0.010000000000000009,average,ANImf,1
29654_bins.109.fa,1_1,0.010000000000000009,average,ANImf,1
29655_bins.162.fa,1_1,0.010000000000000009,average,ANImf,1
29665_bins.451.fa,1_1,0.010000000000000009,average,ANImf,1
29666_bins.345.fa,1_1,0.010000000000000009,average,ANImf,1
29667_bins.155.fa,1_1,0.010000000000000009,average,ANImf,1
29679_bins.230.fa,1_1,0.010000000000000009,average,ANImf,1
29691_bins.165.fa,1_1,0.010000000000000009,average,ANImf,1
29692_bins.185.fa,1_1,0.010000000000000009,average,ANImf,1
29694_bins.73.fa,1_1,0.010000000000000009,average,ANImf,1
29700_bins.251.fa,1_1,0.010000000000000009,average,ANImf,1
29702_bins.329.fa,1_1,0.010000000000000009,average,ANImf,1
29703_bins.380.fa,1_1,0.010000000000000009,average,ANImf,1
29704_bins.155.fa,1_1,0.010000000000000009,average,ANImf,1
29705_bins.414.fa,1_1,0.010000000000000009,average,ANImf,1
29707_bins.56.fa,1_1,0.010000000000000009,average,ANImf,1
29715_bins.269.fa,1_1,0.010000000000000009,average,ANImf,1
29718_bins.183.fa,1_1,0.010000000000000009,average,ANImf,1
29743_bins.156.fa,1_1,0.010000000000000009,average,ANImf,1
29745_bins.199.fa,1_1,0.010000000000000009,average,ANImf,1
29752_bins.420.fa,1_1,0.010000000000000009,average,ANImf,1
29753_bins.264.fa,1_1,0.010000000000000009,average,ANImf,1
29754_bins.28.fa,1_1,0.010000000000000009,average,ANImf,1
29765_bins.295.fa,1_1,0.010000000000000009,average,ANImf,1
29777_bins.186.fa,1_1,0.010000000000000009,average,ANImf,1
29778_bins.202.fa,1_1,0.010000000000000009,average,ANImf,1
29781_bins.65.fa,1_1,0.010000000000000009,average,ANImf,1
29792_bins.230.fa,1_1,0.010000000000000009,average,ANImf,1
29793_bins.7.fa,1_1,0.010000000000000009,average,ANImf,1
29796_bins.312.fa,1_1,0.010000000000000009,average,ANImf,1
29797_bins.10.fa,1_1,0.010000000000000009,average,ANImf,1
29846_bins.410.fa,1_1,0.010000000000000009,average,ANImf,1
29847_bins.62.fa,1_1,0.010000000000000009,average,ANImf,1
29863_bins.49.fa,1_1,0.010000000000000009,average,ANImf,1
29864_bins.56.fa,1_1,0.010000000000000009,average,ANImf,1
29865_bins.510.fa,1_1,0.010000000000000009,average,ANImf,1
29875_bins.111.fa,1_1,0.010000000000000009,average,ANImf,1
29900_bins.335.fa,1_1,0.010000000000000009,average,ANImf,1
29901_bins.27.fa,1_1,0.010000000000000009,average,ANImf,1
29912_bins.116.fa,1_1,0.010000000000000009,average,ANImf,1
29913_bins.156.fa,1_1,0.010000000000000009,average,ANImf,1
29924_bins.292.fa,1_1,0.010000000000000009,average,ANImf,1
29934_bins.90.fa,1_1,0.010000000000000009,average,ANImf,1
29943_bins.85.fa,1_1,0.010000000000000009,average,ANImf,1
29948_bins.167.fa,1_1,0.010000000000000009,average,ANImf,1
29949_bins.479.fa,1_1,0.010000000000000009,average,ANImf,1
29951_bins.29.fa,1_1,0.010000000000000009,average,ANImf,1
29961_bins.76.fa,1_1,0.010000000000000009,average,ANImf,1
29962_bins.298.fa,1_1,0.010000000000000009,average,ANImf,1
NegativeControl_bins.108.fa,1_1,0.010000000000000009,average,ANImf,1
14265_bins.282.fa,2_1,0.010000000000000009,average,ANImf,2
